method,partition,metric,old,new,delta,abs_delta
CCNet-Re,FKIT,flicker,7.7,7.2784,-0.4216,0.4216
SeTN,MTF,drift,4.1,4.443,0.343,0.343
CCNet,FKIT,flicker,7.1,6.7886,-0.3114,0.3114
FPN-Re,N5K,flicker,3.9,3.592,-0.308,0.308
FPN-Re,FKIT,drift,7.5,7.1966,-0.3034,0.3034
CCNet-Re,FKIT,drift,5.7,5.4116,-0.2884,0.2884
SeTN,FKIT,drift,6.3,6.0229,-0.2771,0.2771
YOLO,N5K,flicker,14.7,14.4308,-0.2692,0.2692
CCNet-Re,V&F,flicker,10.8,11.0568,0.2568,0.2568
kMean++,MTF,flicker,1.7,1.9343,0.2343,0.2343
Swin-B,V&F,drift,7.5,7.2799,-0.2201,0.2201
kMean++,N5K,flicker,2.4,2.6112,0.2112,0.2112
CCNet-Re,V&F,drift,7.3,7.5041,0.2041,0.2041
CCNet,FKIT,drift,5.2,4.9986,-0.2014,0.2014
Swin-S,V&F,drift,8.3,8.1029,-0.1971,0.1971
kMean++,N5K,drift,3.0,2.8247,-0.1753,0.1753
SeTN,V&F,drift,9.1,9.2378,0.1378,0.1378
Swin-B,FKIT,drift,5.6,5.4678,-0.1322,0.1322
kMean++,MTF,sigma,24.2,24.3211,0.1211,0.1211
Swin-S,MTF,continuity,96.2,96.1023,-0.0977,0.0977
SeTN,MTF,flicker,2.9,2.8052,-0.0948,0.0948
kMean++,N5K,sigma,16.2,16.276,0.076,0.076
Swin-B,FKIT,flicker,8.7,8.6301,-0.0699,0.0699
CCNet,N5K,drift,1.4,1.334,-0.066,0.066
BiRefNet,N5K,sigma,1.9,1.9495,0.0495,0.0495
Swin-B,MTF,sigma,13.5,13.5486,0.0486,0.0486
FPN-Re,N5K,drift,5.5,5.4523,-0.0477,0.0477
SeTN,N5K,sigma,3.2,3.2451,0.0451,0.0451
FPN-Re,FKIT,sigma,23.1,23.0556,-0.0444,0.0444
Swin-S,N5K,drift,1.4,1.3566,-0.0434,0.0434
Swin-S,N5K,sigma,2.7,2.7408,0.0408,0.0408
CCNet-Re,N5K,drift,1.5,1.4616,-0.0384,0.0384
CCNet-Re,FKIT,sigma,26.1,26.0646,-0.0354,0.0354
Swin-S,FKIT,sigma,29.1,29.0647,-0.0353,0.0353
YOLO,N5K,sigma,30.6,30.5656,-0.0344,0.0344
FPN-Re,MTF,sigma,29.8,29.7657,-0.0343,0.0343
Swin-B,N5K,sigma,4.1,4.0657,-0.0343,0.0343
BiRefNet,N5K,drift,0.9,0.8671,-0.0329,0.0329
SeTN,V&F,flicker,15.5,15.5324,0.0324,0.0324
Swin-B,FKIT,sigma,21.4,21.3688,-0.0312,0.0312
SeTN,FKIT,sigma,30.1,30.0694,-0.0306,0.0306
