method,partition,metric,n_runs,mean,std,min,max
DEVA,VF,iou,5,74.4100,0.0000,74.4100,74.4100
DEVA,VF,accuracy,5,96.8700,0.0000,96.8700,96.8700
DEVA,FKIT,mAP,5,97.6100,0.0000,97.6100,97.6100
DEVA,FKIT,recall,5,99.3100,0.0000,99.3100,99.3100
DEVA,FKIT,precision,5,97.6100,0.0000,97.6100,97.6100
DEVA,FKIT,f1,5,98.3500,0.0000,98.3500,98.3500
DEVA,FKIT,iou,5,96.9400,0.0000,96.9400,96.9400
DEVA,FKIT,accuracy,5,99.9200,0.0000,99.9200,99.9200
DoraemonGPT,N5K,mAP,5,5.9200,0.0000,5.9200,5.9200
DoraemonGPT,N5K,recall,5,0.4800,0.0000,0.4800,0.4800
DoraemonGPT,N5K,precision,5,5.9200,0.0000,5.9200,5.9200
DoraemonGPT,N5K,f1,5,0.8200,0.0000,0.8200,0.8200
DoraemonGPT,N5K,iou,5,0.4500,0.0000,0.4500,0.4500
DoraemonGPT,N5K,accuracy,5,74.7600,0.0000,74.7600,74.7600
DoraemonGPT,MTF,mAP,5,0.2600,0.0000,0.2600,0.2600
DoraemonGPT,MTF,recall,5,0.0000,0.0000,0.0000,0.0000
DoraemonGPT,MTF,precision,5,0.2600,0.0000,0.2600,0.2600
DoraemonGPT,MTF,f1,5,0.0000,0.0000,0.0000,0.0000
DoraemonGPT,MTF,iou,5,0.0000,0.0000,0.0000,0.0000
DoraemonGPT,MTF,accuracy,5,94.3800,0.0000,94.3800,94.3800
DoraemonGPT,VF,mAP,5,58.8300,0.0000,58.8300,58.8300
DoraemonGPT,VF,recall,5,59.8400,0.0000,59.8400,59.8400
DoraemonGPT,VF,precision,5,58.8300,0.0000,58.8300,58.8300
DoraemonGPT,VF,f1,5,54.2000,0.0000,54.2000,54.2000
DoraemonGPT,VF,iou,5,48.5800,0.0000,48.5800,48.5800
DoraemonGPT,VF,accuracy,5,95.9500,0.0000,95.9500,95.9500
DoraemonGPT,FKIT,mAP,5,64.0500,0.0000,64.0500,64.0500
DoraemonGPT,FKIT,recall,5,62.8100,0.0000,62.8100,62.8100
DoraemonGPT,FKIT,precision,5,64.0500,0.0000,64.0500,64.0500
DoraemonGPT,FKIT,f1,5,62.2000,0.0000,62.2000,62.2000
DoraemonGPT,FKIT,iou,5,60.3600,0.0000,60.3600,60.3600
DoraemonGPT,FKIT,accuracy,5,99.0300,0.0000,99.0300,99.0300
FLMM,N5K,mAP,5,56.2300,0.0000,56.2300,56.2300
FLMM,N5K,recall,5,44.3400,0.0000,44.3400,44.3400
FLMM,N5K,precision,5,56.2300,0.0000,56.2300,56.2300
FLMM,N5K,f1,5,48.2200,0.0000,48.2200,48.2200
FLMM,N5K,iou,5,42.7800,0.0000,42.7800,42.7800
FLMM,N5K,accuracy,5,90.0800,0.0000,90.0800,90.0800
FLMM,MTF,mAP,5,47.8600,0.0000,47.8600,47.8600
FLMM,MTF,recall,5,46.7200,0.0000,46.7200,46.7200
FLMM,MTF,precision,5,47.8600,0.0000,47.8600,47.8600
FLMM,MTF,f1,5,46.6900,0.0000,46.6900,46.6900
FLMM,MTF,iou,5,44.7800,0.0000,44.7800,44.7800
