method,partition,continuity,flicker,drift,sigma,continuity_std,flicker_std,drift_std,sigma_std,n_scenes
Y+X2,FKIT,89.9824,0.0416,0.2672,30.9607,29.2771,0.1101,0.1673,4.0821,21
Y+X2,MTF,76.6138,0.0773,0.7327,36.6927,41.9765,0.2678,0.5609,3.7583,13
Y+X2,N5K,89.6491,0.0,1.0414,21.9272,29.9013,0.0,0.4018,1.408,10
Y+X2,VF,77.984,3.1243,2.9622,28.8973,36.6674,3.8068,2.624,7.0662,4
YOLO,FKIT,52.1105,17.092,13.5762,43.429,21.3844,5.613,4.7408,7.3707,21
YOLO,MTF,65.8062,20.3403,17.9398,40.6069,30.2028,12.8795,10.8425,12.4331,13
YOLO,N5K,71.5503,14.4308,10.62,30.5656,32.0761,13.0396,8.1577,12.9088,10
YOLO,VF,32.4398,28.6916,18.9241,37.2373,14.4669,9.4669,6.5981,9.4985,4
kMean++,FKIT,32.759,0.9429,1.5871,32.6759,25.9669,1.1734,0.9509,10.2018,21
kMean++,MTF,59.2068,1.9343,3.7213,24.3211,41.7075,6.4122,3.1281,5.4066,13
kMean++,N5K,4.6032,2.6112,2.8247,16.276,13.8095,2.2082,1.2098,5.8976,10
kMean++,VF,28.412,5.3511,5.6752,30.2506,26.3487,6.4568,3.8325,10.9732,4
