method,partition,precision,precision_std,recall,recall_std,f1,f1_std,iou,iou_std,accuracy,accuracy_std,mAP,n_scenes
FoodMem,VF,91.7644,16.8560,96.7032,7.9772,93.1726,15.7799,90.2607,19.2588,99.2049,2.0069,91.7644,11
FoodMem_mem20,VF,91.7599,16.8549,96.6530,7.9827,93.1441,15.7744,90.2116,19.2518,99.2039,2.0070,91.7599,11
FoodMem_mem40,VF,91.7580,16.8542,96.6492,7.9841,93.1413,15.7736,90.2064,19.2507,99.2038,2.0069,91.7580,11
FoodMem_mem5,VF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.9185,1.6697,0.0000,11
FoodMem_mem4,VF,91.8108,16.8726,96.6518,7.9995,93.1681,15.7838,90.2282,19.2648,99.2041,2.0052,91.8108,11
