method,frame,mAP,recall,iou,accuracy
FoodLMM,109,99.8109,88.1051,87.9583,99.5505
FoodLMM,110,99.6240,91.6077,91.2921,99.6819
FoodLMM,111,99.8489,93.2640,93.1325,99.7533
FoodLMM,112,99.9824,93.2326,93.2174,99.7603
FoodLMM,113,86.7885,79.4608,70.8864,98.8547
FoodLMM,114,55.3722,72.6688,45.8281,96.9867
FoodLMM,115,0.0000,0.0000,0.0000,96.4805
FoodLMM,116,0.0000,0.0000,0.0000,96.4790
FoodLMM,117,92.8010,57.1153,54.6921,98.3299
FoodLMM,118,99.9947,77.1257,77.1226,99.1845
FoodLMM,119,0.0000,0.0000,0.0000,96.4295
FoodLMM,120,99.9944,72.7276,72.7247,99.0284
FoodLMM,121,0.0000,0.0000,0.0000,96.4592
FoodLMM,122,100.0000,70.3770,70.3770,98.9531
FoodLMM,123,0.0000,0.0000,0.0000,96.4323
FoodLMM,124,100.0000,44.7565,44.7565,98.0162
FoodLMM,125,0.0000,0.0000,0.0000,96.3772
FoodLMM,126,100.0000,45.9294,45.9294,98.0456
FoodLMM,127,0.0000,0.0000,0.0000,96.4039
FoodLMM,128,99.9955,88.8938,88.8902,99.6000
FoodLMM,129,0.0000,0.0000,0.0000,96.4090
FoodLMM,130,0.0000,0.0000,0.0000,96.4057
FoodLMM,131,0.0000,0.0000,0.0000,96.4110
FoodLMM,132,0.0000,0.0000,0.0000,96.3983
FoodLMM,133,0.0000,0.0000,0.0000,96.4188
FoodLMM,134,99.9871,62.6477,62.6427,98.6600
FoodLMM,135,0.0000,0.0000,0.0000,96.4155
FoodLMM,136,0.0000,0.0000,0.0000,96.4476
FoodLMM,137,0.0000,0.0000,0.0000,96.4973
FoodLMM,138,0.0000,0.0000,0.0000,96.5576
FoodLMM,139,0.0000,0.0000,0.0000,96.6131
FoodLMM,140,0.0000,0.0000,0.0000,96.6895
FoodLMM,141,98.7308,78.3632,77.5816,99.2650
FoodLMM,142,0.0000,0.0000,0.0000,96.7962
FoodLMM,143,0.0000,0.0000,0.0000,96.8297
FoodLMM,144,0.0000,0.0000,0.0000,96.8691
FoodLMM,145,98.6797,76.2207,75.4512,99.2365
FoodLMM,146,0.0000,0.0000,0.0000,96.9679
FoodLMM,147,0.0000,0.0000,0.0000,96.9962
FoodLMM,148,0.0000,0.0000,0.0000,97.0346
FoodLMM,149,99.9664,72.9554,72.9375,99.2008
FoodLMM,150,0.0000,0.0000,0.0000,97.0537
FoodLMM,151,0.0000,0.0000,0.0000,97.0373
FoodLMM,152,0.0000,0.0000,0.0000,97.0120
FoodLMM,153,0.0000,0.0000,0.0000,96.9644
FoodLMM,154,0.0000,0.0000,0.0000,96.9077
FoodLMM,155,0.0000,0.0000,0.0000,96.8238
FoodLMM,156,99.9873,70.3841,70.3778,99.0404
FoodLMM,157,0.0000,0.0000,0.0000,96.7015
FoodLMM,158,92.0857,65.8133,62.2900,98.6558
FoodLMM,159,0.0000,0.0000,0.0000,96.5600
FoodLMM,160,0.0000,0.0000,0.0000,96.4902
FoodLMM,161,99.9946,75.3286,75.3256,99.1201
FoodLMM,162,0.0000,0.0000,0.0000,96.3715
FoodLMM,163,0.0000,0.0000,0.0000,96.3041
FoodLMM,164,0.0000,0.0000,0.0000,96.2590
FoodLMM,165,100.0000,69.0382,69.0382,98.8283
FoodLMM,166,99.9485,80.8162,80.7825,99.2659
FoodLMM,167,0.0000,0.0000,0.0000,96.1793
FoodLMM,168,0.0000,0.0000,0.0000,96.1593
FoodLMM,169,0.0000,0.0000,0.0000,96.1505
FoodLMM,170,0.0000,0.0000,0.0000,96.1455
FoodLMM,171,0.0000,0.0000,0.0000,96.1736
FoodLMM,172,0.0000,0.0000,0.0000,96.2397
FoodLMM,173,0.0000,0.0000,0.0000,96.3166
FoodLMM,174,0.0000,0.0000,0.0000,96.3764
FoodLMM,175,0.0000,0.0000,0.0000,96.4631
