method,partition,scene,precision,recall,f1,iou,accuracy
FoodMem,MTF,7,94.5958,99.3585,96.7426,94.0266,99.8456
FoodMem,MTF,4,99.9998,94.5911,97.2179,94.5909,99.7325
FoodMem,MTF,2,98.7218,99.9402,99.3259,98.6629,99.9140
FoodMem,MTF,1,99.8682,97.2151,98.5162,97.0886,99.9583
FoodMem,MTF,5,99.5990,99.7802,99.6890,99.3809,99.9566
FoodMem,MTF,3,98.7218,99.9402,99.3259,98.6629,99.9140
FoodMem,MTF,14,99.3642,99.6960,99.5289,99.0633,99.9137
FoodMem,MTF,13,98.8478,97.1826,97.9912,96.0996,99.7462
FoodMem,MTF,9,99.9497,96.9927,98.4406,96.9443,99.8496
FoodMem,MTF,10,96.9989,96.9308,96.7607,94.1708,99.6021
FoodMem,MTF,11,93.8103,98.0578,95.8277,92.0954,99.8689
SETR_MLA,MTF,8,99.5829,78.3835,86.6222,78.0714,99.3967
SETR_MLA,MTF,6,96.0482,99.3623,97.6623,95.4492,99.8840
SETR_MLA,MTF,7,93.8956,92.5233,92.9642,87.1627,99.6673
SETR_MLA,MTF,4,99.6754,93.7555,96.6082,93.4713,99.6887
SETR_MLA,MTF,2,98.3988,98.4836,98.4123,96.9247,99.8075
SETR_MLA,MTF,1,97.7092,93.6089,95.4974,91.5131,99.8794
SETR_MLA,MTF,5,98.5541,99.2761,98.9041,97.8452,99.8466
SETR_MLA,MTF,3,98.3988,98.4836,98.4123,96.9247,99.8075
SETR_MLA,MTF,14,97.8160,99.5952,98.6879,97.4264,99.7627
SETR_MLA,MTF,13,99.8525,94.4107,97.0275,94.2774,99.6320
SETR_MLA,MTF,9,97.7872,94.9389,96.0392,92.8497,99.5821
SETR_MLA,MTF,10,97.2103,90.7013,93.6577,88.2606,99.2647
SETR_MLA,MTF,11,92.1319,95.1839,93.0267,87.9648,99.7469
SF+X2,MTF,8,99.9982,63.5348,75.9868,63.5335,98.9528
SF+X2,MTF,6,99.4628,98.8682,99.1630,98.3417,99.9588
SF+X2,MTF,7,96.9805,98.9293,97.8300,95.9385,99.9025
SF+X2,MTF,4,99.9999,94.4086,97.1215,94.4085,99.7249
SF+X2,MTF,2,99.0571,99.8210,99.4360,98.8799,99.9281
SF+X2,MTF,1,97.8398,99.7469,98.7792,97.5976,99.9643
SF+X2,MTF,5,99.0075,99.8756,99.4385,98.8867,99.9201
SF+X2,MTF,3,99.0571,99.8210,99.4360,98.8799,99.9281
SF+X2,MTF,14,98.3456,99.7024,99.0182,98.0596,99.8242
SF+X2,MTF,13,98.5763,98.4963,98.5246,97.1165,99.8100
SF+X2,MTF,9,98.9988,98.4694,98.7303,97.5011,99.8729
SF+X2,MTF,10,99.3435,96.0859,97.6858,95.4812,99.7351
SF+X2,MTF,11,93.2886,95.4250,94.2909,89.3193,99.8243
SeTM+S2,MTF,8,40.8436,36.7430,37.3451,25.0757,96.7385
SeTM+S2,MTF,6,43.3406,44.2410,43.5395,31.3539,97.1478
SeTM+S2,MTF,7,36.9664,37.6980,36.6255,25.3598,96.8317
SeTM+S2,MTF,4,39.7363,37.6936,37.3340,24.6281,93.9753
SeTM+S2,MTF,2,62.4029,62.5209,62.2043,46.8272,95.1768
SeTM+S2,MTF,1,33.1522,33.7563,33.1683,23.0572,98.1628
SeTM+S2,MTF,5,71.1746,71.0181,70.9194,56.3867,95.9551
SeTM+S2,MTF,3,62.4029,62.5209,62.2043,46.8272,95.1768
SeTM+S2,MTF,14,17.4597,17.6150,16.2269,12.0191,84.3787
SeTM+S2,MTF,13,41.6160,39.5375,40.2343,28.4150,92.4086
SeTM+S2,MTF,9,21.6007,21.5487,21.2052,15.5513,92.0721
SeTM+S2,MTF,10,6.9653,7.2154,6.9323,5.8355,89.0912
SeTM+S2,MTF,11,26.7626,29.8273,27.8454,20.3592,97.8508
SeTM+S3,MTF,8,99.7799,79.8763,88.5917,79.7299,99.4544
SeTM+S3,MTF,6,96.4903,99.8644,98.1433,96.3619,99.9076
SeTM+S3,MTF,7,94.3314,98.2493,96.1403,92.7673,99.8102
SeTM+S3,MTF,4,99.8998,95.5593,97.6762,95.4655,99.7774
SeTM+S3,MTF,2,98.3242,99.6029,98.9581,97.9389,99.8668
SeTM+S3,MTF,1,98.2770,98.3136,98.2873,96.6368,99.9512
SeTM+S3,MTF,5,99.3414,99.4669,99.4026,98.8140,99.9168
SeTM+S3,MTF,3,98.3242,99.6029,98.9581,97.9389,99.8668
SeTM+S3,MTF,14,98.8406,99.5596,99.1956,98.4080,99.8594
SeTM+S3,MTF,13,99.9330,96.7490,98.2921,96.6841,99.7835
SeTM+S3,MTF,9,99.6647,94.8141,97.1184,94.4942,99.7180
SeTM+S3,MTF,10,97.0287,94.9686,95.6124,92.2600,99.4281
SeTM+S3,MTF,11,93.3212,98.4049,95.7413,91.9382,99.8660
Seg+S3,MTF,8,92.2556,98.4754,94.6745,90.9543,99.6369
Seg+S3,MTF,6,90.2072,99.5903,94.6525,89.8842,99.7226
Seg+S3,MTF,7,90.6985,91.9561,90.9113,84.0691,99.5678
Seg+S3,MTF,4,100.0000,4.1158,7.7447,4.1158,95.1589
Seg+S3,MTF,2,50.2310,99.8505,66.7391,50.1873,93.7309
Seg+S3,MTF,1,87.5832,0.6089,1.2054,0.6083,98.5810
Seg+S3,MTF,5,99.5951,27.6505,43.1310,27.6194,94.9669
Seg+S3,MTF,3,50.2310,99.8505,66.7391,50.1873,93.7309
Seg+S3,MTF,14,99.9645,14.4648,24.5846,14.4640,92.0535
Seg+S3,MTF,13,100.0000,73.3473,83.8410,73.3473,98.2518
Seg+S3,MTF,9,99.9830,0.6422,1.2678,0.6422,94.9806
Seg+S3,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587
Seg+S3,MTF,11,99.6917,51.4298,67.3160,51.3446,99.2897
SegMan_ADE,MTF,8,68.0772,75.9700,65.8567,52.7079,97.8308
SegMan_ADE,MTF,6,81.4445,71.3138,68.5153,55.7014,98.5427
SegMan_ADE,MTF,7,73.2076,80.3866,70.6008,57.6965,98.3413
SegMan_ADE,MTF,4,9.5000,0.9666,1.5860,0.9666,95.0169
SegMan_ADE,MTF,2,52.2831,99.5240,68.1706,52.1285,94.0030
SegMan_ADE,MTF,1,14.5620,2.6633,4.1523,2.6613,98.6148
SegMan_ADE,MTF,5,73.0903,94.2115,80.4654,68.5406,96.9740
SegMan_ADE,MTF,3,52.2831,99.5240,68.1706,52.1285,94.0030
SegMan_ADE,MTF,14,85.7741,66.7164,68.9622,60.0225,96.4382
SegMan_ADE,MTF,13,73.3333,20.7767,29.2801,20.7767,94.9453
SegMan_ADE,MTF,9,63.3333,18.5914,25.4076,18.5914,95.9713
SegMan_ADE,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587
SegMan_ADE,MTF,11,42.4588,87.7858,50.7016,36.4418,96.9237
SegMan_FS,MTF,8,79.0156,48.3292,55.7680,47.6477,98.4984
SegMan_FS,MTF,6,98.4105,95.1724,96.6635,93.7486,99.8465
SegMan_FS,MTF,7,93.5783,91.2752,92.0015,85.6971,99.6094
SegMan_FS,MTF,4,97.0160,94.4285,95.4769,91.7277,99.5427
SegMan_FS,MTF,2,99.0964,97.9905,98.5293,97.1068,99.8200
SegMan_FS,MTF,1,56.1167,99.1780,63.8627,55.7296,93.7604
SegMan_FS,MTF,5,98.6253,99.1047,98.8529,97.7508,99.8367
SegMan_FS,MTF,3,99.0964,97.9905,98.5293,97.1068,99.8200
SegMan_FS,MTF,14,97.1881,99.5578,98.3444,96.7684,99.6906
SegMan_FS,MTF,13,94.8837,96.4688,94.9596,91.6140,99.1245
SegMan_FS,MTF,9,99.1704,95.0164,96.9924,94.2375,99.7073
SegMan_FS,MTF,10,93.6475,94.8507,93.0841,88.9264,98.3810
SegMan_FS,MTF,11,92.3335,87.9115,88.9913,81.8980,99.7171
Y+S3,MTF,8,99.8682,71.5406,83.0635,71.4653,99.1747
Y+S3,MTF,6,94.4633,99.9842,97.1380,94.4488,99.8562
Y+S3,MTF,7,94.9651,81.4978,87.0097,77.8793,99.3292
Y+S3,MTF,4,99.9110,96.8122,98.3319,96.7267,99.8400
Y+S3,MTF,2,92.2131,99.9628,94.2221,92.1787,96.0854
Y+S3,MTF,1,93.2062,99.7271,96.3457,92.9631,99.8948
Y+S3,MTF,5,98.4144,96.9406,97.5175,95.4260,99.6848
Y+S3,MTF,3,91.3593,99.9642,93.4254,91.3262,95.3290
Y+S3,MTF,14,95.9730,99.8670,97.8724,95.8482,99.6375
Y+S3,MTF,13,99.2365,98.3661,98.7773,97.6183,99.8435
Y+S3,MTF,9,97.3719,99.2775,98.3099,96.6917,99.8295
Y+S3,MTF,10,99.6512,92.7138,96.0529,92.4164,99.5562
Y+S3,MTF,11,16.7071,100.0000,28.5851,16.7071,92.5430
YOLO,MTF,8,44.0807,35.8572,37.7290,33.3350,95.9506
YOLO,MTF,6,76.7382,82.3063,78.5146,76.0948,98.2909
YOLO,MTF,7,58.7185,69.2250,61.9899,56.3211,98.4925
YOLO,MTF,4,95.4002,93.5880,94.3768,92.5376,99.6511
YOLO,MTF,2,53.2532,60.3342,54.9136,53.1918,93.7959
YOLO,MTF,1,88.7658,98.1118,90.5294,87.1009,94.8538
YOLO,MTF,5,92.2457,99.3052,93.9811,91.5961,96.7877
YOLO,MTF,3,53.2532,60.3343,54.9136,53.1918,93.7959
YOLO,MTF,14,92.4472,89.6515,89.5021,85.5655,98.5754
YOLO,MTF,13,94.6275,95.6782,95.1305,93.6980,99.5828
YOLO,MTF,9,96.9804,97.8973,97.3704,94.9589,99.7435
YOLO,MTF,10,89.0058,82.8043,85.7463,81.9535,98.7812
YOLO,MTF,11,18.2037,23.2690,19.4425,18.1596,96.2578
BiRefNet,VF,banana,49.7261,89.3682,54.2798,49.5848,89.5926
BiRefNet,VF,avocado,56.6717,90.8315,64.3075,56.4826,97.0824
BiRefNet,VF,blackberry,53.1585,93.9060,62.6022,53.0486,93.7573
BiRefNet,VF,apple,39.0246,72.8228,44.0408,31.0139,92.7153
FoodMem,VF,banana,94.6449,95.5325,94.9757,90.6061,99.6053
FoodMem,VF,avocado,98.7125,99.4149,99.0608,98.1414,99.9397
FoodMem,VF,blackberry,96.1120,98.8963,97.3633,95.2403,99.8036
FoodMem,VF,apple,41.0581,72.8848,45.7131,32.4835,93.1733
SETR_MLA,VF,banana,90.6750,94.2521,91.5557,85.7978,99.3737
SETR_MLA,VF,avocado,96.2680,96.5302,95.9364,93.0374,99.7764
SETR_MLA,VF,blackberry,93.0075,97.6145,94.9114,91.7972,99.6379
SETR_MLA,VF,apple,40.1051,72.5951,44.9779,31.8132,92.9780
SF+X2,VF,banana,95.7593,98.3411,96.9890,94.2264,99.7678
SF+X2,VF,avocado,99.2218,98.5196,98.8654,97.7605,99.9260
SF+X2,VF,blackberry,96.3363,98.8104,97.4365,95.3830,99.8152
SF+X2,VF,apple,40.8457,73.3473,45.6983,32.4889,93.1118
SeTM+S2,VF,banana,33.4565,31.3398,23.1724,14.0478,93.2344
SeTM+S2,VF,avocado,48.1650,47.6024,29.5888,18.6330,94.3527
SeTM+S2,VF,blackberry,39.5594,37.8068,31.8286,22.2360,92.9904
SeTM+S2,VF,apple,43.5500,76.6024,47.9178,34.9766,93.4337
SeTM+S3,VF,banana,95.8841,96.4960,96.1022,92.6022,99.6457
SeTM+S3,VF,avocado,99.3148,98.8603,99.0852,98.1899,99.9427
SeTM+S3,VF,blackberry,96.0447,99.8122,97.8865,95.8844,99.8044
SeTM+S3,VF,apple,41.1040,72.8002,45.7148,32.4621,93.1927
Seg+S3,VF,banana,0.0005,0.0000,0.0001,0.0000,95.0599
Seg+S3,VF,avocado,99.9157,91.3509,95.3614,91.2776,99.6202
Seg+S3,VF,blackberry,99.0486,76.4922,86.0306,76.2853,98.7837
Seg+S3,VF,apple,3.6790,0.0785,0.1499,0.0764,94.8816
SegMan_ADE,VF,banana,0.4310,0.0098,0.0192,0.0098,95.4947
SegMan_ADE,VF,avocado,39.5349,19.6959,24.3226,19.6959,97.3283
SegMan_ADE,VF,blackberry,90.2173,48.8534,60.7163,48.6685,98.2008
SegMan_ADE,VF,apple,0.5906,0.0283,0.0539,0.0279,94.8872
SegMan_FS,VF,banana,90.4709,95.8297,92.2779,86.8734,99.4376
SegMan_FS,VF,avocado,96.4679,91.4959,93.2156,88.5050,99.6767
SegMan_FS,VF,blackberry,93.9582,96.8795,95.1983,92.1969,99.6591
SegMan_FS,VF,apple,40.8066,72.8757,45.5221,32.2680,93.1424
Y+S3,VF,banana,94.6748,96.5852,95.5350,91.5537,99.6222
Y+S3,VF,avocado,94.0810,99.9940,96.9284,94.0754,99.8125
Y+S3,VF,blackberry,92.1347,99.9362,95.8493,92.0914,99.6217
Y+S3,VF,apple,40.9199,73.2693,45.7157,32.4781,93.1340
YOLO,VF,banana,56.2599,71.2011,59.9086,53.4190,96.9752
YOLO,VF,avocado,51.0483,63.6527,54.8373,50.9981,96.9124
YOLO,VF,blackberry,48.6477,67.9785,54.7012,48.5521,95.8794
YOLO,VF,apple,35.7200,72.8349,41.8313,29.0384,91.8248
BiRefNet,FKIT,orange,98.9476,99.5923,99.2686,98.5480,99.9676
BiRefNet,FKIT,empanadilla,99.4172,96.8515,98.1076,96.3073,99.9377
BiRefNet,FKIT,yellow_cane,97.6502,99.7936,98.7058,97.4511,99.8857
BiRefNet,FKIT,capsicum,98.6905,99.4225,99.0531,98.1259,99.9528
BiRefNet,FKIT,chocolate_bomb,96.5774,99.3243,97.2850,95.9337,99.7458
BiRefNet,FKIT,pear,98.9271,99.0160,98.9697,97.9618,99.9659
BiRefNet,FKIT,samosa,97.7309,98.7882,97.9249,96.7372,99.8939
BiRefNet,FKIT,apple_pie,97.7421,99.7286,98.4980,97.4814,99.8947
BiRefNet,FKIT,chocolate_cake,99.3288,99.6139,99.4701,98.9473,99.9634
BiRefNet,FKIT,donut,99.2923,98.8776,99.0820,98.1836,99.9283
BiRefNet,FKIT,napolitanas,98.8237,98.9481,98.8810,97.7923,99.9524
BiRefNet,FKIT,paxoco_mini,97.8830,99.3688,98.6167,97.2785,99.9590
BiRefNet,FKIT,aguacate,98.8172,99.0300,98.9185,97.8648,99.9810
BiRefNet,FKIT,banana,99.7601,95.3783,97.5121,95.1593,99.9245
BiRefNet,FKIT,chocolate_croissant,98.9474,99.1636,99.0538,98.1270,99.9549
BiRefNet,FKIT,french_bread,98.7893,97.4780,98.0043,96.3244,99.9152
BiRefNet,FKIT,mini_chocolate_panettone,98.9556,99.8488,99.3997,98.8073,99.9692
BiRefNet,FKIT,falafel,97.9560,99.7019,98.8185,97.6685,99.9785
BiRefNet,FKIT,lemon,98.9994,99.4144,99.2040,98.4215,99.9749
BiRefNet,FKIT,durum,98.4278,98.8944,98.6553,97.3501,99.8892
BiRefNet,FKIT,apple,99.9420,98.2137,99.0696,98.1574,99.9272
FoodMem,FKIT,orange,98.8245,99.9922,99.4047,98.8168,99.9733
FoodMem,FKIT,empanadilla,99.4624,97.2995,98.3490,96.7857,99.9463
FoodMem,FKIT,yellow_cane,46.7113,2.5424,4.7748,2.5424,96.1680
FoodMem,FKIT,capsicum,98.2029,99.8935,99.0401,98.1000,99.9518
FoodMem,FKIT,chocolate_bomb,99.3409,99.4966,99.4174,98.8437,99.9769
FoodMem,FKIT,pear,98.5521,99.7019,99.1214,98.2600,99.9666
FoodMem,FKIT,samosa,98.9453,99.7970,99.3674,98.7439,99.9768
FoodMem,FKIT,apple_pie,99.3524,99.8308,99.5904,99.1847,99.9834
FoodMem,FKIT,chocolate_cake,98.2450,99.9942,99.1103,98.2393,99.9380
FoodMem,FKIT,donut,98.6974,99.9611,99.3245,98.6594,99.9467
FoodMem,FKIT,napolitanas,99.1763,99.8760,99.5246,99.0540,99.9790
FoodMem,FKIT,paxoco_mini,99.3479,99.0927,99.2136,98.4447,99.9759
FoodMem,FKIT,aguacate,98.4258,99.8438,99.1268,98.2706,99.9838
FoodMem,FKIT,banana,97.6063,99.4492,98.5088,97.0697,99.9534
FoodMem,FKIT,chocolate_croissant,99.3486,99.5926,99.4686,98.9446,99.9746
FoodMem,FKIT,french_bread,98.9339,98.9007,98.9133,97.8583,99.9538
FoodMem,FKIT,mini_chocolate_panettone,99.6247,49.7979,64.1708,49.7500,98.5978
FoodMem,FKIT,falafel,99.5789,99.0761,99.3216,98.6568,99.9870
FoodMem,FKIT,lemon,97.3815,99.9992,98.6719,97.3807,99.9592
