method,partition,scene,precision,recall,f1,iou,accuracy
SeTM+S3,FKIT,donut,99.6336,98.3333,98.9763,97.9771,99.9194
SeTM+S3,FKIT,napolitanas,99.3069,98.6564,98.9753,97.9755,99.9566
SeTM+S3,FKIT,paxoco_mini,99.8223,96.4590,98.1059,96.2905,99.9421
SeTM+S3,FKIT,aguacate,99.8990,95.6852,97.7250,95.5884,99.9639
SeTM+S3,FKIT,banana,93.5770,99.5123,96.4378,93.1372,99.8855
SeTM+S3,FKIT,chocolate_croissant,99.7137,97.6721,98.6800,97.3984,99.9383
SeTM+S3,FKIT,french_bread,99.0517,97.5253,98.2749,96.6206,99.9270
SeTM+S3,FKIT,mini_chocolate_panettone,99.9992,33.5960,48.1443,33.5959,98.2096
SeTM+S3,FKIT,falafel,99.9907,94.1773,96.9802,94.1688,99.9506
SeTM+S3,FKIT,lemon,95.7073,99.9772,97.7883,95.6856,99.9317
SeTM+S3,FKIT,durum,95.7962,99.8474,97.7747,95.6539,99.8162
SeTM+S3,FKIT,apple,99.8795,98.1279,98.9940,98.0106,99.9207
Seg+S3,FKIT,orange,99.9924,21.3237,34.6470,21.3236,98.2183
Seg+S3,FKIT,empanadilla,93.7484,14.2421,23.4189,14.2418,98.2789
Seg+S3,FKIT,yellow_cane,0.0000,0.0000,0.0000,0.0000,96.0333
Seg+S3,FKIT,capsicum,99.5860,15.2895,25.3034,15.2820,97.9093
Seg+S3,FKIT,chocolate_bomb,8.7821,1.3298,2.2205,1.1984,95.1748
Seg+S3,FKIT,pear,99.1703,0.6148,1.2188,0.6148,98.2234
Seg+S3,FKIT,samosa,99.9760,58.2302,71.8813,58.2174,99.2481
Seg+S3,FKIT,apple_pie,0.0000,0.0000,0.0000,0.0000,97.4586
Seg+S3,FKIT,chocolate_cake,99.9991,33.7966,46.9326,33.7962,97.6684
Seg+S3,FKIT,donut,99.9701,69.8073,81.0582,69.7876,98.8094
Seg+S3,FKIT,napolitanas,99.9730,56.1316,71.0600,56.1227,99.0559
Seg+S3,FKIT,paxoco_mini,99.9463,24.9605,38.1541,24.9601,98.7620
Seg+S3,FKIT,aguacate,0.3164,0.0049,0.0095,0.0048,99.0775
Seg+S3,FKIT,banana,88.8519,22.2480,24.8828,21.9447,98.8179
Seg+S3,FKIT,chocolate_croissant,90.9699,2.6863,5.0424,2.6861,97.5760
Seg+S3,FKIT,french_bread,99.7039,47.7395,61.7088,47.7387,98.8949
Seg+S3,FKIT,mini_chocolate_panettone,0.0000,0.0001,0.0000,0.0000,96.3689
Seg+S3,FKIT,falafel,99.9976,28.6945,43.5558,28.6941,99.3371
Seg+S3,FKIT,lemon,99.0260,0.8469,1.6734,0.8469,98.4512
Seg+S3,FKIT,durum,87.1721,42.1198,49.7767,42.0227,97.3836
Seg+S3,FKIT,apple,77.9686,0.1588,0.3159,0.1588,95.9819
SegMan_ADE,FKIT,orange,25.2026,5.9566,8.2213,5.8964,97.8911
SegMan_ADE,FKIT,empanadilla,42.9655,13.9932,17.5747,13.2572,98.3249
SegMan_ADE,FKIT,yellow_cane,0.0000,0.0000,0.0000,0.0000,96.0333
SegMan_ADE,FKIT,capsicum,34.0374,13.4955,16.8575,13.2800,97.8090
SegMan_ADE,FKIT,chocolate_bomb,30.3237,10.7893,12.7618,10.4425,98.1230
SegMan_ADE,FKIT,pear,46.9243,20.1270,24.9209,19.4669,98.4822
SegMan_ADE,FKIT,samosa,44.1049,14.4403,19.0432,14.2399,98.4032
SegMan_ADE,FKIT,apple_pie,58.0568,20.4695,26.5804,20.3357,98.3025
SegMan_ADE,FKIT,chocolate_cake,83.2388,38.6101,49.0552,38.5800,97.9168
SegMan_ADE,FKIT,donut,91.6886,43.0743,54.1672,42.7453,97.8462
SegMan_ADE,FKIT,napolitanas,74.1122,26.1231,35.7334,26.1081,98.3803
SegMan_ADE,FKIT,paxoco_mini,52.2750,24.9042,28.1550,22.1220,98.7248
SegMan_ADE,FKIT,aguacate,18.4415,8.0074,9.3762,7.2194,99.1246
SegMan_ADE,FKIT,banana,0.5183,0.0325,0.0552,0.0325,98.4336
SegMan_ADE,FKIT,chocolate_croissant,12.9234,1.4714,2.3673,1.4714,97.5531
SegMan_ADE,FKIT,french_bread,79.0935,38.3562,47.4014,37.3349,98.5938
SegMan_ADE,FKIT,mini_chocolate_panettone,7.1921,1.9008,2.7011,1.8997,97.4271
SegMan_ADE,FKIT,falafel,21.6294,6.6430,8.6219,6.3552,99.0755
SegMan_ADE,FKIT,lemon,58.2019,24.1037,29.4720,23.3682,98.8703
SegMan_ADE,FKIT,durum,83.6079,44.1710,54.2084,43.8979,97.7555
SegMan_ADE,FKIT,apple,2.9831,0.4514,0.6659,0.4514,95.9883
SegMan_FS,FKIT,orange,93.3113,99.7883,95.9719,93.1114,99.7502
SegMan_FS,FKIT,empanadilla,93.5540,93.0703,92.6867,88.0790,99.7181
SegMan_FS,FKIT,yellow_cane,33.4381,3.9614,6.2326,3.8443,95.8961
SegMan_FS,FKIT,capsicum,92.2550,99.4760,95.5145,91.7863,99.7513
SegMan_FS,FKIT,chocolate_bomb,73.5767,53.6706,55.6291,50.4622,98.8897
SegMan_FS,FKIT,pear,91.0180,94.1744,91.2894,85.6567,99.6245
SegMan_FS,FKIT,samosa,93.1007,95.6614,93.5848,89.2779,99.7674
SegMan_FS,FKIT,apple_pie,96.1466,95.1313,95.1779,91.4387,99.8073
SegMan_FS,FKIT,chocolate_cake,89.1371,99.3395,92.4035,88.5393,99.2896
SegMan_FS,FKIT,donut,89.4414,96.0774,90.2221,85.8827,98.8954
SegMan_FS,FKIT,napolitanas,83.8212,87.5699,82.4324,75.2786,99.1420
SegMan_FS,FKIT,paxoco_mini,91.8184,86.8777,86.8381,80.5388,99.6798
SegMan_FS,FKIT,aguacate,85.7578,87.0276,81.2477,73.7054,99.3453
SegMan_FS,FKIT,banana,81.7716,98.4957,87.3645,80.6822,99.3118
SegMan_FS,FKIT,chocolate_croissant,74.9899,43.7454,49.0058,38.0738,97.9198
SegMan_FS,FKIT,french_bread,92.1084,96.8597,93.7226,89.2933,99.7061
SegMan_FS,FKIT,mini_chocolate_panettone,56.4293,19.1398,24.9545,19.0066,97.3570
SegMan_FS,FKIT,falafel,86.1742,91.2558,85.4785,79.0562,99.6565
SegMan_FS,FKIT,lemon,84.5933,99.7223,89.0980,84.4549,99.4536
SegMan_FS,FKIT,durum,95.6113,91.7647,92.8972,88.3369,99.4204
SegMan_FS,FKIT,apple,95.8660,98.2631,96.7974,94.2637,99.7405
Y+S3,FKIT,orange,95.0074,99.9858,97.4276,94.9939,99.8842
Y+S3,FKIT,empanadilla,90.4810,99.9245,94.9529,90.4176,99.8076
Y+S3,FKIT,yellow_cane,98.3284,99.2618,98.7905,97.6119,99.9069
Y+S3,FKIT,capsicum,95.1561,99.9063,97.4677,95.0690,99.8702
Y+S3,FKIT,chocolate_bomb,98.1625,14.3302,23.2960,14.2978,97.8459
Y+S3,FKIT,pear,92.4310,99.9443,96.0324,92.3816,99.8625
Y+S3,FKIT,samosa,92.1910,99.9470,95.8887,92.1423,99.8542
Y+S3,FKIT,apple_pie,93.1112,99.9993,96.4165,93.1106,99.8585
