method,partition,metric,n_runs,mean,std,min,max
FLMM,N5K,sigma,5,39.8554,0.0,39.8554,39.8554
FLMM,VF,continuity,5,24.1043,0.0,24.1043,24.1043
FLMM,VF,drift,5,19.1418,0.0,19.1418,19.1418
FLMM,VF,flicker,5,27.1343,0.0,27.1343,27.1343
FLMM,VF,sigma,5,38.8374,0.0,38.8374,38.8374
FLMM+S2,FKIT,continuity,5,15.1693,0.0,15.1693,15.1693
FLMM+S2,FKIT,drift,5,5.6828,0.0,5.6828,5.6828
FLMM+S2,FKIT,flicker,5,4.4534,0.0,4.4534,4.4534
FLMM+S2,FKIT,sigma,5,21.7542,0.0,21.7542,21.7542
FLMM+S2,MTF,continuity,5,10.9763,0.0,10.9763,10.9763
FLMM+S2,MTF,drift,5,7.4889,0.0,7.4889,7.4889
FLMM+S2,MTF,flicker,5,8.2787,0.0,8.2787,8.2787
FLMM+S2,MTF,sigma,5,22.4256,0.0,22.4256,22.4256
FLMM+S2,N5K,continuity,5,38.7716,0.0,38.7716,38.7716
FLMM+S2,N5K,drift,5,5.5888,0.0,5.5888,5.5888
FLMM+S2,N5K,flicker,5,9.9933,0.0,9.9933,9.9933
FLMM+S2,N5K,sigma,5,25.7514,0.0,25.7514,25.7514
FLMM+S2,VF,continuity,5,5.1289,0.0,5.1289,5.1289
FLMM+S2,VF,drift,5,7.9508,0.0,7.9508,7.9508
FLMM+S2,VF,flicker,5,10.0258,0.0,10.0258,10.0258
FLMM+S2,VF,sigma,5,18.4959,0.0,18.4959,18.4959
FLMM+S3,FKIT,continuity,5,90.6443,0.0,90.6443,90.6443
FLMM+S3,FKIT,drift,5,0.9795,0.0,0.9795,0.9795
FLMM+S3,FKIT,flicker,5,0.3769,0.0,0.3769,0.3769
FLMM+S3,FKIT,sigma,5,18.6478,0.0,18.6478,18.6478
FLMM+S3,MTF,continuity,5,79.0598,0.0,79.0598,79.0598
FLMM+S3,MTF,drift,5,2.1173,0.0,2.1173,2.1173
FLMM+S3,MTF,flicker,5,1.8781,0.0,1.8781,1.8781
FLMM+S3,MTF,sigma,5,24.4873,0.0,24.4873,24.4873
FLMM+S3,N5K,continuity,5,84.4322,0.0,84.4322,84.4322
FLMM+S3,N5K,drift,5,1.5984,0.0,1.5984,1.5984
FLMM+S3,N5K,flicker,5,0.8065,0.0,0.8065,0.8065
FLMM+S3,N5K,sigma,5,31.3106,0.0,31.3106,31.3106
FLMM+S3,VF,continuity,5,27.0871,0.0,27.0871,27.0871
FLMM+S3,VF,drift,5,4.4688,0.0,4.4688,4.4688
FLMM+S3,VF,flicker,5,6.3308,0.0,6.3308,6.3308
FLMM+S3,VF,sigma,5,35.4823,0.0,35.4823,35.4823
FLMM+X2,FKIT,continuity,5,80.5856,0.0,80.5856,80.5856
FLMM+X2,FKIT,drift,5,0.1743,0.0,0.1743,0.1743
FLMM+X2,FKIT,flicker,5,0.0,0.0,0.0,0.0
FLMM+X2,FKIT,sigma,5,39.2558,0.0,39.2558,39.2558
FLMM+X2,MTF,continuity,5,53.8462,0.0,53.8462,53.8462
FLMM+X2,MTF,drift,5,0.3566,0.0,0.3566,0.3566
FLMM+X2,MTF,flicker,5,0.0,0.0,0.0,0.0
FLMM+X2,MTF,sigma,5,47.2364,0.0,47.2364,47.2364
FLMM+X2,N5K,continuity,5,64.5751,0.0,64.5751,64.5751
FLMM+X2,N5K,drift,5,0.8217,0.0,0.8217,0.8217
FLMM+X2,N5K,flicker,5,0.0,0.0,0.0,0.0
FLMM+X2,N5K,sigma,5,40.1492,0.0,40.1492,40.1492
FLMM+X2,VF,continuity,5,15.4693,0.0,15.4693,15.4693
FLMM+X2,VF,drift,5,3.2898,0.0,3.2898,3.2898
FLMM+X2,VF,flicker,5,3.5044,0.0,3.5044,3.5044
FLMM+X2,VF,sigma,5,26.1393,0.0,26.1393,26.1393
FPN-Re,FKIT,continuity,5,82.2316,0.0,82.2316,82.2316
FPN-Re,FKIT,drift,5,7.1966,0.0,7.1966,7.1966
FPN-Re,FKIT,flicker,5,9.8899,0.0,9.8899,9.8899
FPN-Re,FKIT,sigma,5,23.0556,0.0,23.0556,23.0556
FPN-Re,MTF,continuity,5,60.7121,0.0,60.7121,60.7121
FPN-Re,MTF,drift,5,12.7362,0.0,12.7362,12.7362
FPN-Re,MTF,flicker,5,23.4923,0.0,23.4923,23.4923
FPN-Re,MTF,sigma,5,29.7657,0.0,29.7657,29.7657
FPN-Re,N5K,continuity,5,98.0645,0.0,98.0645,98.0645
FPN-Re,N5K,drift,5,5.4523,0.0,5.4523,5.4523
FPN-Re,N5K,flicker,5,3.592,0.0,3.592,3.592
FPN-Re,N5K,sigma,5,10.6708,0.0,10.6708,10.6708
FPN-Re,VF,continuity,5,59.5065,0.0,59.5065,59.5065
FPN-Re,VF,drift,5,9.4061,0.0,9.4061,9.4061
FPN-Re,VF,flicker,5,13.7448,0.0,13.7448,13.7448
FPN-Re,VF,sigma,5,28.7703,0.0,28.7703,28.7703
FSAM,FKIT,continuity,5,85.3338,0.0,85.3338,85.3338
FSAM,FKIT,drift,5,5.6883,0.0,5.6883,5.6883
FSAM,FKIT,flicker,5,7.5971,0.0,7.5971,7.5971
FSAM,FKIT,sigma,5,22.0868,0.0,22.0868,22.0868
FSAM,MTF,continuity,5,96.97,0.0,96.97,96.97
FSAM,MTF,drift,5,4.1011,0.0,4.1011,4.1011
