method,partition,continuity,flicker,drift,sigma,continuity_std,flicker_std,drift_std,sigma_std,n_scenes
SegMan_ADE,MTF,88.5799,19.0171,11.4201,28.8968,8.1429,17.4113,8.1429,8.9177,13
SegMan_ADE,N5K,91.0206,11.9967,8.9794,19.5403,3.2729,9.0792,3.2729,5.3096,10
SegMan_ADE,VF,95.7046,6.2472,4.2954,26.5562,4.2789,6.2836,4.2789,13.9137,4
SegMan_COCO,FKIT,92.4156,11.7453,7.5844,37.935,3.6767,6.9531,3.6767,9.5771,21
SegMan_COCO,MTF,82.8522,28.2124,17.1478,38.7226,8.5948,14.8491,8.5948,8.7035,13
SegMan_COCO,N5K,90.2498,14.1583,9.7502,31.8815,5.3605,9.9566,5.3605,12.5042,10
SegMan_COCO,VF,93.9043,9.4085,6.0957,21.3235,5.0558,6.983,5.0558,9.3409,4
Swin-B,FKIT,94.5322,8.6301,5.4678,21.3688,3.4723,5.9392,3.4723,7.1291,21
Swin-B,MTF,94.794,7.8087,5.206,13.5486,3.6364,6.9078,3.6364,5.7325,13
Swin-B,N5K,98.1302,0.4892,1.8698,4.0657,0.7822,1.0387,0.7822,2.1629,10
Swin-B,VF,92.7201,9.3234,7.2799,29.169,0.3168,2.0117,0.3168,2.654,4
Swin-S,FKIT,92.9426,11.4367,7.0574,29.0647,3.5518,6.7469,3.5518,7.2226,21
Swin-S,MTF,95.2206,6.4623,4.7794,11.6702,4.3074,7.827,4.3074,5.5975,13
Swin-S,N5K,98.6434,0.0,1.3566,2.7408,0.4479,0.0,0.4479,0.6978,10
Swin-S,VF,91.8971,11.9664,8.1029,29.9261,0.9021,3.0372,0.9021,0.9813,4
Y+S2,FKIT,94.6358,4.0775,5.3642,21.8646,1.5747,2.2603,1.5747,4.0514,21
Y+S2,MTF,93.3958,7.3405,6.6042,22.6967,4.1056,7.3964,4.1056,7.6591,13
Y+S2,N5K,93.4456,11.5934,6.5544,23.5545,1.7133,4.2736,1.7133,5.1106,10
Y+S2,VF,91.8332,10.2758,8.1668,19.5911,2.047,7.0327,2.047,4.9373,4
Y+X2,FKIT,99.7328,0.0416,0.2672,30.9607,0.1673,0.1101,0.1673,4.0821,21
Y+X2,MTF,99.2673,0.0773,0.7327,36.6927,0.5609,0.2678,0.5609,3.7583,13
Y+X2,N5K,98.9586,0.0,1.0414,21.9272,0.4018,0.0,0.4018,1.408,10
Y+X2,VF,97.0378,3.1243,2.9622,28.8973,2.624,3.8068,2.624,7.0662,4
YOLO,FKIT,86.4238,17.092,13.5762,43.429,4.7408,5.613,4.7408,7.3707,21
YOLO,MTF,82.0602,20.3403,17.9398,40.6069,10.8425,12.8795,10.8425,12.4331,13
YOLO,N5K,89.38,14.4308,10.62,30.5656,8.1577,13.0396,8.1577,12.9088,10
YOLO,VF,81.0759,28.6916,18.9241,37.2373,6.5981,9.4669,6.5981,9.4985,4
kMean++,FKIT,98.4129,0.9429,1.5871,32.6759,0.9509,1.1734,0.9509,10.2018,21
kMean++,MTF,96.2787,1.9343,3.7213,24.3211,3.1281,6.4122,3.1281,5.4066,13
kMean++,N5K,97.1753,2.6112,2.8247,16.276,1.2098,2.2082,1.2098,5.8976,10
kMean++,VF,94.3248,5.3511,5.6752,30.2506,3.8325,6.4568,3.8325,10.9732,4
