method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+S3,K10,N5K,1,94.4372,99.9538,97.1139,94.3960,97.9695,100.0000,0.0000,0.7335,64
SF+S3,K10,N5K,10,93.4855,99.1027,96.2023,92.6993,98.1260,100.0000,0.0000,1.1730,58
SF+S3,K10,N5K,2,98.9823,96.5004,97.7187,95.5474,99.3568,100.0000,0.0000,0.6337,61
SF+S3,K10,N5K,3,98.1906,97.8884,98.0320,96.1452,99.4553,100.0000,0.0000,0.4997,63
SF+S3,K10,N5K,4,91.4735,99.9628,95.5171,91.4427,99.2587,100.0000,0.0000,1.1133,63
SF+S3,K10,N5K,5,93.3846,99.6995,96.4342,93.1243,98.0305,100.0000,0.0000,0.7169,61
SF+S3,K10,N5K,6,89.4023,99.9820,94.3890,89.3882,97.6243,100.0000,0.0000,1.2951,65
SF+S3,K10,N5K,7,93.4577,99.9759,96.5968,93.4362,98.9638,100.0000,0.0000,1.2851,60
SF+S3,K10,N5K,8,98.6261,98.2568,98.4333,96.9184,99.4624,100.0000,0.0000,0.5818,63
SF+S3,K10,N5K,9,93.2021,99.9192,96.4235,93.1302,98.4411,100.0000,0.0000,1.0563,63
SF+S3,K10,VF,1,99.7051,97.7131,98.6153,97.4282,99.9310,98.8304,1.1696,1.0877,172
SF+S3,K10,VF,10,94.5289,99.7574,97.0642,94.3065,99.6410,100.0000,0.0000,1.2886,207
SF+S3,K10,VF,11,41.1132,72.9474,45.7559,32.4995,93.1876,13.5000,5.5000,7.3714,201
SF+S3,K10,VF,2,95.6447,98.5253,96.9943,94.2345,99.7582,100.0000,0.0000,0.9824,232
SF+S3,K10,VF,3,96.7849,99.7935,98.2607,96.6018,99.7691,100.0000,0.0000,0.9816,222
SF+S3,K10,VF,4,96.8789,99.8973,98.3612,96.7807,99.7810,100.0000,0.0000,0.9105,177
SF+S3,K10,VF,5,97.5891,95.7905,96.0814,93.4790,99.9061,94.3925,0.9346,2.5041,215
SF+S3,K10,VF,6,95.0038,99.9330,97.3574,94.9444,99.7367,99.0698,0.4651,1.3120,216
SF+S3,K10,VF,7,94.2060,99.9183,96.9706,94.1315,99.6085,100.0000,0.0000,1.3458,225
SF+S3,K10,VF,8,97.8134,99.6252,98.7066,97.4540,99.9215,100.0000,0.0000,0.5967,213
SF+S3,K10,VF,9,98.1827,99.6298,98.8985,97.8235,99.9306,100.0000,0.0000,0.3937,228
SF+S3,K10,MTF,1,86.3292,99.6915,90.3058,86.0722,98.4311,86.3636,5.0505,8.8210,199
SF+S3,K10,MTF,10,99.2956,96.0220,97.6257,95.3721,99.7305,100.0000,0.0000,1.1342,30
SF+S3,K10,MTF,11,92.8413,93.6138,93.1262,87.2875,99.7894,100.0000,0.0000,4.1899,30
SF+S3,K10,MTF,13,96.7324,98.0975,96.7868,94.8613,99.3703,93.1034,3.4483,6.4386,30
SF+S3,K10,MTF,14,97.4328,99.6639,98.5315,97.1131,99.7438,100.0000,0.0000,0.9088,30
SF+S3,K10,MTF,2,99.2835,98.9630,99.1210,98.2585,99.8906,100.0000,0.0000,0.2629,200
SF+S3,K10,MTF,3,99.2835,98.9630,99.1210,98.2585,99.8906,100.0000,0.0000,0.2629,200
SF+S3,K10,MTF,4,99.9844,94.8930,97.3686,94.8786,99.7453,100.0000,0.0000,0.3915,200
SF+S3,K10,MTF,5,99.0527,99.4816,99.2648,98.5446,99.8954,100.0000,0.0000,0.2291,200
SF+S3,K10,MTF,6,98.8972,98.9397,98.9159,97.8569,99.9468,100.0000,0.0000,0.2911,200
SF+S3,K10,MTF,7,97.1804,92.0548,94.1971,89.6307,99.7261,98.9950,0.0000,1.6376,200
SF+S3,K10,MTF,8,99.4235,61.3447,72.5985,61.2884,98.8815,64.3216,2.5126,3.2289,200
SF+S3,K10,MTF,9,98.7422,98.1018,98.4162,96.8921,99.8411,100.0000,0.0000,1.0987,30
