method,config,partition,scene,precision,recall,f1,iou,accuracy,continuity,flicker,drift,n_frames
SF+S2,K60,N5K,1,94.2017,99.8132,96.9221,94.0482,97.8292,100.0000,0.0000,1.0913,64
SF+S2,K60,N5K,10,93.0999,99.4167,96.1449,92.5911,98.0923,100.0000,0.0000,1.1478,58
SF+S2,K60,N5K,2,98.7302,96.9786,97.8388,95.8095,99.3862,100.0000,0.0000,0.9010,61
SF+S2,K60,N5K,3,97.4286,97.1952,97.2975,94.7802,99.2888,100.0000,0.0000,1.0900,63
SF+S2,K60,N5K,4,92.6287,99.4907,95.9100,92.2668,99.3659,100.0000,0.0000,1.6115,63
SF+S2,K60,N5K,5,92.9626,99.3111,96.0208,92.4096,97.8111,100.0000,1.6667,1.2979,61
SF+S2,K60,N5K,6,91.1505,99.1942,94.9850,90.5351,97.9569,100.0000,1.5625,2.1558,65
SF+S2,K60,N5K,7,94.8523,99.9362,97.3207,94.7941,99.1872,100.0000,0.0000,1.3581,60
SF+S2,K60,N5K,8,97.1639,97.9888,97.5497,95.2726,99.1748,100.0000,1.6129,1.6846,63
SF+S2,K60,N5K,9,94.8723,99.4025,97.0692,94.4017,98.7417,100.0000,1.6129,1.4026,63
SF+S2,K60,VF,1,99.6680,96.9609,98.1555,96.6416,99.9080,98.8304,1.7544,1.6499,172
SF+S2,K60,VF,10,95.5488,99.7039,97.5745,95.2722,99.7067,100.0000,0.0000,1.0616,207
SF+S2,K60,VF,11,41.0376,72.9527,45.7087,32.4665,93.1679,14.5000,5.5000,7.3718,201
SF+S2,K60,VF,2,97.1691,99.5088,98.3214,96.7066,99.8721,100.0000,0.0000,0.5339,232
SF+S2,K60,VF,3,96.9109,99.8172,98.3400,96.7515,99.7802,100.0000,0.0000,0.7471,222
SF+S2,K60,VF,4,96.8146,99.9224,98.3414,96.7415,99.7971,100.0000,0.0000,0.7619,177
SF+S2,K60,VF,5,97.6166,98.4521,97.8897,96.1119,99.9336,99.0654,0.4673,1.4519,215
SF+S2,K60,VF,6,96.4461,99.8668,98.1237,96.3235,99.8022,100.0000,0.0000,0.5671,216
SF+S2,K60,VF,7,95.7308,99.8821,97.7583,95.6215,99.7232,100.0000,0.0000,0.9454,225
SF+S2,K60,VF,8,98.4477,99.7615,99.0994,98.2177,99.9494,100.0000,0.0000,0.2647,213
SF+S2,K60,VF,9,97.4852,99.9213,98.6867,97.4105,99.9183,100.0000,0.0000,0.4076,228
SF+S2,K60,MTF,1,96.4553,98.7199,97.5650,95.2747,99.9288,100.0000,0.5051,1.0647,199
SF+S2,K60,MTF,10,99.6050,93.6833,96.5473,93.3326,99.6043,100.0000,0.0000,0.8289,30
SF+S2,K60,MTF,11,92.8573,96.1507,94.4209,89.5713,99.8267,100.0000,0.0000,4.2230,30
SF+S2,K60,MTF,13,99.6533,97.4722,98.5316,97.1407,99.8130,100.0000,0.0000,1.6848,30
SF+S2,K60,MTF,14,98.0881,99.6539,98.8622,97.7562,99.8011,100.0000,0.0000,0.7810,30
SF+S2,K60,MTF,2,99.2707,99.0389,99.1531,98.3214,99.8944,100.0000,0.0000,0.2071,200
SF+S2,K60,MTF,3,99.2707,99.0389,99.1531,98.3214,99.8944,100.0000,0.0000,0.2071,200
SF+S2,K60,MTF,4,99.9993,94.3221,97.0749,94.3215,99.7214,100.0000,0.0000,0.2749,200
SF+S2,K60,MTF,5,98.0578,98.9135,98.4545,97.1062,99.7908,100.0000,1.0050,1.0825,200
SF+S2,K60,MTF,6,99.4743,94.9730,97.0844,94.4768,99.8702,100.0000,0.0000,1.1135,200
SF+S2,K60,MTF,7,93.4707,97.7368,95.2994,91.4093,99.7706,100.0000,0.0000,1.3387,200
SF+S2,K60,MTF,8,99.4472,67.3018,78.0947,67.2623,99.0500,73.8693,1.5075,2.2575,200
SF+S2,K60,MTF,9,98.8864,98.0615,98.4685,96.9927,99.8469,100.0000,0.0000,1.1265,30
