method,partition,continuity,flicker,drift,sigma,continuity_std,flicker_std,drift_std,sigma_std,n_scenes
FoodMem,N5K,100.0,0.0,0.9138,2.3116,0.0,0.0,0.2554,0.7684,10
FoodMem,VF,78.234,3.1243,2.9709,29.5606,36.2346,3.8068,2.6577,7.1149,4
SETR_MLA,FKIT,91.0388,2.9962,2.8667,20.015,25.2818,5.8568,3.022,5.3072,21
SETR_MLA,MTF,98.5804,1.7189,2.804,9.1236,3.2074,2.4608,2.3604,4.2825,13
SETR_MLA,N5K,100.0,0.0,1.0387,2.2122,0.0,0.0,0.2626,0.3762,10
SETR_MLA,VF,73.9195,7.5987,5.5578,29.7433,36.3488,1.8984,1.1353,3.234,4
SeTN,FKIT,78.0507,8.0322,6.0229,30.0694,29.9093,6.0912,3.097,7.0574,21
SeTN,MTF,95.3341,2.8052,4.443,15.9252,8.2853,4.4841,2.9972,6.8591,13
SeTN,N5K,100.0,0.0,1.2083,3.2451,0.0,0.0,0.3689,0.527,10
SeTN,VF,64.6764,15.5324,9.2378,30.6567,32.3363,6.5782,2.4178,2.5716,4
Swin-B,FKIT,88.0193,8.6301,5.4678,21.3688,13.8727,5.9392,3.4723,7.1291,21
Swin-B,MTF,95.0978,7.8087,5.206,13.5486,4.7941,6.9078,3.6364,5.7325,13
Swin-B,N5K,99.6774,0.4892,1.8698,4.0657,0.9677,1.0387,0.7822,2.1629,10
Swin-B,VF,74.0186,9.3234,7.2799,29.169,38.155,2.0117,0.3168,2.654,4
Swin-S,FKIT,77.883,11.4367,7.0574,29.0647,24.1727,6.7469,3.5518,7.2226,21
Swin-S,MTF,96.1023,6.4623,4.7794,11.6702,6.4697,7.827,4.3074,5.5975,13
Swin-S,N5K,100.0,0.0,1.3566,2.7408,0.0,0.0,0.4479,0.6978,10
Swin-S,VF,66.7075,11.9664,8.1029,29.9261,33.6191,3.0372,0.9021,0.9813,4
Y+S2,FKIT,14.0237,4.0775,5.3642,21.8646,12.4111,2.2603,1.5747,4.0514,21
Y+S2,MTF,7.2548,7.3405,6.6042,22.6967,13.9402,7.3964,4.1056,7.6591,13
Y+S2,N5K,48.452,11.5934,6.5544,23.5545,18.3006,4.2736,1.7133,5.1106,10
Y+S2,VF,5.9891,10.2758,8.1668,19.5911,6.1047,7.0327,2.047,4.9373,4
Y+X2,FKIT,89.9824,0.0416,0.2672,30.9607,29.2771,0.1101,0.1673,4.0821,21
Y+X2,MTF,76.6138,0.0773,0.7327,36.6927,41.9765,0.2678,0.5609,3.7583,13
Y+X2,N5K,89.6491,0.0,1.0414,21.9272,29.9013,0.0,0.4018,1.408,10
Y+X2,VF,77.984,3.1243,2.9622,28.8973,36.6674,3.8068,2.624,7.0662,4
YOLO,FKIT,52.1105,17.092,13.5762,43.429,21.3844,5.613,4.7408,7.3707,21
YOLO,MTF,65.8062,20.3403,17.9398,40.6069,30.2028,12.8795,10.8425,12.4331,13
YOLO,N5K,71.5503,14.4308,10.62,30.5656,32.0761,13.0396,8.1577,12.9088,10
YOLO,VF,32.4398,28.6916,18.9241,37.2373,14.4669,9.4669,6.5981,9.4985,4
kMean++,FKIT,32.7789,0.938,1.5795,32.6832,25.9848,1.0829,0.9213,10.2152,21
kMean++,MTF,59.0518,1.9343,3.7248,24.3146,41.6565,6.4122,3.1349,5.4073,13
kMean++,N5K,4.6032,2.9445,2.8782,16.3017,13.8095,2.7329,1.2831,5.9076,10
kMean++,VF,28.412,5.6435,5.7103,30.2264,26.3487,6.9565,3.8781,10.9324,4
